INSEE,Latitude,Longitude
01383,46.1,5.13333
01384,45.95,5.43333
01385,46.1833,5.16667
01386,45.8833,5.36667
01387,46.3203,5.04167
01388,46.4667,5.08333
01389,46.0667,4.9
01390,45.8333,5.28333
01391,46.3667,5.35
01392,46.25,5.58333
01393,46.0667,4.98333
01396,45.85,5.41667
01397,46.3167,6.11667
01398,46,4.85
01399,46.3,6.08333
01400,45.8,5.48333
01401,46.25,6
01402,46.5,4.98333
01403,45.8081,5.45445
01404,46.15,5.45
01405,46.1333,5.16667
01406,46.4333,5.06667
01407,45.9597,5.83194
01408,46.2167,5.41667
01409,45.9667,5.7
01410,46.2333,5.53333
01411,45.8667,5.41667
01412,46.1667,4.96667
01413,46.0167,5.8
01414,45.95,5.65
01415,45.8667,5.71667
01416,45.9167,5.5
01417,45.8833,5.6
01418,45.8167,5.01667
01419,46.2364,5.97973
01420,46.1667,4.8
01421,45.9167,5.4
01422,46.1333,5.31667
01423,45.9667,4.83333
01424,45.8667,4.96667
01425,46.1167,5.26667
01426,46.2714,5.36834
01427,45.9333,4.76667
01428,46.1167,4.86667
01429,46.2167,5.08333
01430,46.0333,5.31667
01431,45.9167,5.35
01432,46.35,5.35
01433,46.4833,5.11667
01434,45.9833,5.1
01435,46.3023,6.09723
01436,46.35,6.08333
01437,46.4667,5.03333
01439,46.35,4.86667
01441,46.0833,5.53333
01442,45.9,5.68333
01443,46,5.01667
01444,45.85,5.43333
01445,46.35,5.31667
01446,46.0212,4.83667
01447,46.1833,5.38333
01448,46.0833,5.78333
01449,45.9884,5.26862
01450,45.9206,5.22223
01451,46.25,5.21667
01452,45.85,5.65
01453,45.9,5.71667
01454,45.7167,5.71667
01456,45.8167,5.71667
01457,46.2167,5
02001,49.6,3.18333
02002,49.6833,3.38333
02003,49.35,3.41667
02004,49.7167,3.95
02005,49.4,3.96667
02006,49.9333,3.53333
02007,49.4833,3.81667
02008,49.4348,3.51639
02009,49.75,3.36667
02010,49.4667,3.45
02011,49.3833,3.18333
02012,49.3167,3.4
02013,49.4833,3.91667
02014,49.6,3.3
02015,49.2167,3.21667
02016,49.6333,3.36667
02017,49.6833,3.43333
02018,49.5,3.45
02019,49.7167,3.16667
02020,49.8833,4.2165
02021,49.7417,4.11667
02022,49.25,3.46667
02023,49.1833,3.38333
02024,49.4833,3.75
02025,49.7667,3.18333
02026,48.9333,3.55
02027,49.6833,3.56667
02028,49.5667,3.68333
